IncidentNum,DateTime,Lat,Lon,Address,IncidentType,ActionTaken,Remarks
2021000004869,07/02/2021 00:04,42.4902431,-71.2741501,"168 Great Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004870,07/02/2021 00:06,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000004871,07/02/2021 00:18,42.5088847,-71.2362839,"44 Middlesex Turnpike, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked/Secured, No dispatcher remarks listed. 
2021000004872,07/02/2021 01:39,42.5206601,-71.2650783,"28 Cot Hill Rd, Bedford, MA 01730, USA",Alarm Commercial,Checked Area," Lexington Alarm reporting an alarm at 28 Cot Hill Road, Stein, Car8 Busa and Car2 Reid dispatched. Officer Busa  reports the exterior is secure. "
2021000004873,07/02/2021 06:32,42.4925949,-71.2733407,"14 Bedford Village, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," Received a call reporting a central station alarm for 14 Bedford Village. Car8-Busa, Eng-3, Lad-1 and Medic-2  dispatched. Received a 911 call from that location reporting a no fire. Eng-3 continued and confirmed. "
2021000004874,07/02/2021 08:11,42.4727692,-71.2696019,"11 Marion Rd, Bedford, MA 01730, USA",Wires Down,Util Co Notified, Received a call reporting a wire down in the area of 11 Marion Road. Car3-Maloney and Eng-4 dispatched. FD  reports cable wires to # 9 & 11. Comcast was notified. 
2021000004875,07/02/2021 08:17,42.5238565,-71.2490076,"1105 Albion Rd, Bedford, MA 01730, USA",Alarm Resident,Checked/Secured," Received a call reporting an alarm activation at 1105 Albion Road, the Donovan residence. Car5-Lavine and  Car8-Hunt dispatched. The officers checked that location and it is secure. "
2021000004876,07/02/2021 08:36,42.5163401,-71.2591944,"Old Billerica Rd & Bandera Dr, Bedford, MA 01730, USA",Tree Down,DPW Notified, Received a call reporting a large tree down on Old Billerica Road at Bandera Drive. Car5-Lavine dispatched. DPW  notified. DPW removed the tree from the road. 
2021000004877,07/02/2021 10:22,42.5185863,-71.2650783,"19 Cot Hill Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Nothing Found, No dispatcher remarks listed. 
2021000004878,07/02/2021 11:40,42.4913232,-71.2853793,"9 Mudge Way, Bedford, MA 01730, USA",Assist Fire Department,Facilities Ntfy," Received box 214 and the central station for the High School. Car8-Hunt, Eng-4, Lad-1 and Medic-2 dispatched. FD  requested Facilities to respond to the scene. No problem was found. "
